feature,target,mean_r,sd_r,min_r,max_r,sign_consistency,mean_spearman,mean_p,n_sig05
frac_buried_rsa05,ddg_pcc,-0.2117428559670341,0.048914473669913125,-0.25807574831085595,-0.08440824435216542,10,-0.2036413587195657,0.29353860076849825,0
frac_buried_rsa05,a_dg,-0.3053141012371504,0.03765564407263467,-0.39196273830146744,-0.24127359058237438,10,-0.3339356886666501,0.12095596485339559,1
frac_exposed_rsa50,b_p,0.03361698934636131,0.09863692291862845,-0.11124664940203595,0.14634884914005128,6,-0.059983586396089805,0.6327791842917504,0
frac_exposed_rsa50,abs_b_p,-0.3167282513806946,0.14324441051199902,-0.45064667993309915,0.07036300396475784,9,-0.32224059084474727,0.14157816479268118,5
frac_exposed_rsa50,a_p,0.4095404263811376,0.09978830577065337,0.1930985656942048,0.5446738473346505,10,0.315776606192018,0.06433487733964252,8
frac_exposed_rsa50,ddg_pcc,0.4481296254485634,0.07368669123678316,0.2441728382929935,0.5240222895863249,10,0.4291154557386022,0.032560646680336626,9
frac_exposed_rsa50,a_dg,0.40954042486224196,0.09978830600215789,0.19309856419420965,0.5446738445137593,10,0.315776606192018,0.06433487850342023,8
mean_hydropathy,b_p,0.09868250624207694,0.10529639567458214,-0.030559982905908376,0.27858168797908917,8,0.02696044913710649,0.619783928188508,0
mean_hydropathy,abs_b_p,0.07390294990902505,0.07898008937465324,-0.10222503310784041,0.17089207079323984,9,0.00041056521528588373,0.6437338482734682,0
mean_hydropathy,a_p,0.1857248091304628,0.034363068714194915,0.14119773838893046,0.2538608024303421,10,0.1316819500493597,0.35119670012794796,0
mean_hydropathy,ddg_pcc,-0.11654836505561608,0.02734039333863326,-0.1578043978966767,-0.06740399391280308,10,-0.17730943097479782,0.5583005103713511,0
mean_hydropathy,a_dg,0.1857248113587851,0.03436306900771915,0.14119774120755774,0.2538608059894505,10,0.1316819500493597,0.3511966943762508,0
buried_hydrophobic_frac,b_p,-0.09783362740352652,0.03710197579322966,-0.14984977807890254,-0.054783315233393005,10,-0.09141684549134577,0.6263427876415182,0
buried_hydrophobic_frac,abs_b_p,0.11686247104729394,0.07026304062846735,-0.0018999154932705063,0.23432064344956224,9,0.08977413488053992,0.5741412732392903,0
buried_hydrophobic_frac,a_p,-0.21136281838974877,0.041850963545841426,-0.2986493256440197,-0.14081350160802958,10,-0.21705682870781354,0.2908935761451951,0
