feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
SASA_over_N23,abs_b_p,-0.2054677060505438,10,-0.2931732156216905,10,-0.09929597082456225,-0.13692000798613171,-0.2844177811562545,-0.13692000798613171
SASA_over_N23,ddg_pcc,0.3813297961455155,10,0.47972582285362864,10,0.29710105225590466,0.31823140204242745,0.31823140204242745,0.4396441958717488
RSA_mean,a_p,0.41211915262095156,10,0.502163633931578,10,0.4048798223417466,0.33127800881990976,0.33127800881990976,0.499764016490691
RSA_mean,b_p,0.18811827483181753,9,0.12095608774924212,7,0.13308501579470652,0.125457407667433,0.125457407667433,0.26419994812780356
RSA_mean,abs_b_p,-0.2545643044927997,10,-0.28740916797877303,10,-0.0834776856363264,-0.19915546738687928,-0.3371618726947715,-0.19915546738687928
RSA_mean,ddg_pcc,0.3687394425972685,10,0.4938631940947575,10,0.25191858227189357,0.3023504722174778,0.3023504722174778,0.45694707306971355
frac_buried_rsa20,a_p,-0.22626529324586603,10,-0.47888598987652353,10,-0.09417163477960719,-0.12351985692529852,-0.3646517408499975,-0.12351985692529852
frac_buried_rsa20,b_p,-0.20369165502803055,9,-0.23365044870498405,10,-0.1592536688484277,-0.09327997893471081,-0.29224259694371646,-0.09327997893471081
frac_buried_rsa20,abs_b_p,0.19823694396323263,10,0.3077422667076885,10,-0.01220715379911054,0.06290944475548257,0.06290944475548257,0.2778009053274224
frac_buried_rsa20,ddg_pcc,-0.29844656738328285,10,-0.5652420735855451,10,-0.13244138737146555,-0.18914741104758764,-0.531098434619147,-0.18914741104758764
frac_buried_rsa05,a_p,-0.3053141025526735,10,-0.45629644253070145,10,-0.22241406482328668,-0.24855906052526935,-0.37421264829191625,-0.24855906052526935
frac_buried_rsa05,b_p,-0.2213442544376812,10,-0.09119760197157886,8,-0.17848647609120255,-0.146320807215028,-0.31464266809500996,-0.146320807215028
frac_buried_rsa05,abs_b_p,0.1703656890772694,10,0.2483577646249163,10,-0.009100837972590531,0.09793583209379014,0.09793583209379014,0.2432632441954025
frac_buried_rsa05,ddg_pcc,-0.2117428559670341,10,-0.381031349540174,10,-0.033557211600976265,-0.11879878292649519,-0.3097981658969303,-0.11879878292649519
frac_exposed_rsa50,a_p,0.4095404263811376,10,0.3735366918277026,10,0.35860856286209575,0.3138683687323409,0.3138683687323409,0.5066180311410172
frac_exposed_rsa50,b_p,0.03361698934636131,6,-0.042971382839389824,5,-0.04794810302188497,-0.05842640589584218,-0.05842640589584218,0.121024085182681
frac_exposed_rsa50,abs_b_p,-0.3167282513806946,9,-0.28237186025637834,9,-0.22048617692536004,-0.26965570438321884,-0.3970139828135517,-0.26965570438321884
frac_exposed_rsa50,ddg_pcc,0.4481296254485634,10,0.4460707963212718,10,0.36909639861608895,0.4022288472677439,0.4022288472677439,0.5216964365766851
