file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0793,795,0.1,bot,79,41,0.5189873417721519,0.09937106918238994,5.22272071783368
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0793,795,0.15,top,119,36,0.3025210084033613,0.14968553459119496,2.021043711602288
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0793,795,0.15,bot,119,66,0.5546218487394958,0.14968553459119496,3.705246804604195
abl_anchor_w0.3_s42_e14,HHH_rd1_0142,803,0.05,top,40,6,0.15,0.049813200498132,3.01125
abl_anchor_w0.3_s42_e14,HHH_rd1_0142,803,0.05,bot,40,19,0.475,0.049813200498132,9.535625
abl_anchor_w0.3_s42_e14,HHH_rd1_0142,803,0.1,top,80,22,0.275,0.099626400996264,2.7603125000000004
abl_anchor_w0.3_s42_e14,HHH_rd1_0142,803,0.1,bot,80,53,0.6625,0.099626400996264,6.6498437500000005
abl_anchor_w0.3_s42_e14,HHH_rd1_0142,803,0.15,top,120,49,0.4083333333333333,0.149439601494396,2.7324305555555557
abl_anchor_w0.3_s42_e14,HHH_rd1_0142,803,0.15,bot,120,86,0.7166666666666667,0.149439601494396,4.795694444444445
abl_anchor_w0.3_s42_e14,HHH_rd1_0244,770,0.05,top,38,11,0.2894736842105263,0.04935064935064935,5.865650969529086
abl_anchor_w0.3_s42_e14,HHH_rd1_0244,770,0.05,bot,38,20,0.5263157894736842,0.04935064935064935,10.664819944598337
abl_anchor_w0.3_s42_e14,HHH_rd1_0244,770,0.1,top,77,33,0.42857142857142855,0.1,4.285714285714286
abl_anchor_w0.3_s42_e14,HHH_rd1_0244,770,0.1,bot,77,56,0.7272727272727273,0.1,7.2727272727272725
abl_anchor_w0.3_s42_e14,HHH_rd1_0244,770,0.15,top,115,64,0.5565217391304348,0.14935064935064934,3.7262759924385636
abl_anchor_w0.3_s42_e14,HHH_rd1_0244,770,0.15,bot,115,84,0.7304347826086957,0.14935064935064934,4.890737240075614
